#     Name                      Type    M_J 	i-z 	z 	z-J 	Z - J 	J 	J - K 	J-H 	H -  K 	K      K - L´ 	L´ - M´
      SDSSJ 074201.41+205520.5 	T5                      19.28 	3.68 	  	15.60 	-0.46 	-0.35 	-0.11 	16.06 	  	 
      SDSS J212413.89+010000.3 	T5             >2.79 	19.71 	3.83 	  	15.88 	-0.19 	-0.24 	0.05 	16.07 	  	 
      2MASS J15344984-2952274AB T5.5 	13.93 	  	  	  	  	14.60 	-0.31   -0.14 	-0.17 	14.91 	2.33 	 
      2MASS J23565477-1553111 	T5.5 	14.67 	  	  	  	2.12 	15.48   -0.25 	-0.22 	-0.03 	15.73 	  	 
      SDSS J032553.17+042540.1 	T5.5           >2.75 	19.75 	3.85 	  	15.92 	-0.57 	-0.35 	-0.22 	16.45 	  	 
      SDSS J111010.01+011613.1 	T5.5                    19.64 	3.52 	1.88 	16.12 	0.07 	-0.10 	0.17 	16.19 	  	 
      SDSS J123147.39+084730.7 	T5.5                    18.94 	3.80 	  	15.14 	-0.32 	-0.26 	-0.06 	15.46 	1.94 	 
      SDSS J163022.92+081822.0 	T5.5           >2.37 	20.13 	3.95 	  	16.18 	-0.23 	-0.17 	-0.06 	16.41 	  	 
      2MASS J02431371-2453298 	T6 	14.99 	  	  	  	1.85 	15.13 	-0.21   -0.26 	0.05 	15.34 	2.09 	 
      2MASS J09373487+2931409 	T6 pec. 15.35 	  	  	        1.72 	14.29 	-1.10 	-0.38 	-0.72 	15.39 	3.05 	0.60
      2MASS J12255432-2739466AB T6      14.25 	  	  	  	1.89 	14.88 	-0.40 	-0.29 	-0.11 	15.28 	2.06 	 
      SDSS J162414.37+002915.6 	T6      14.99 	  	19.02 	3.82 	2.12 	15.20 	-0.41 	-0.28 	-0.13 	15.61   2.01 	 
      2MASS J00345157+0523050 	T6.5 	  	  	  	  	  	15.11 	-0.85   -0.44 	-0.41 	15.96 	  	 
      2MASS J10475385+2124234 	T6.5    15.43 	  	  	  	1.93 	15.46 	-0.74 	-0.37 	-0.37 	16.20 	  	 
      SDSS J134646.45-003150.4 	T6.5    14.69 	  	19.29 	3.80 	2.24 	15.49 	-0.24 	-0.35 	0.11 	15.73 	  	 
      SDSS J175805.46+463311.9 	T6.5                    19.67 	3.81 	  	15.86 	-0.26 	-0.34 	0.08 	16.12 	  	 
      2MASS J15530228+1532369AB T7 	  	  	  	  	  	15.34 	-0.60   -0.42 	-0.18 	15.94 	  	 
      2MASS J07271824+1710012 	T7      15.40 	  	  	  	1.98 	15.19 	-0.50 	-0.48 	-0.02 	15.69 	2.01 	 
      Gl229B 	                T7 pec. 15.20 	                        2.17 	14.01 	-0.35 	-0.35 	0.00 	14.36 	2.12 	0.50
      SDSS J150411.63+102718.4 	T7             >2.16 	20.34 	3.85 	  	16.49 	-0.53 	-0.43 	-0.10 	17.02 	  	 
      SDSS J162838.77+230821.1 	T7             >2.27 	20.23 	3.98 	  	16.25 	-0.47 	-0.38 	-0.09 	16.72 	  	 
      2MASS J12171110-0311131 	T7.5    15.41 	  	19.18 	3.62 	2.00 	15.56 	-0.36 	-0.42 	0.06 	15.92   1.96 	 
      Gl570D 	                T7.5    15.97 	  	  	  	1.92 	14.82 	-0.70 	-0.46 	-0.24 	15.52 	2.54 	 
      2MASS J04151954-0935066 	T8      16.53 	  	  	  	1.98 	15.32 	-0.51 	-0.38 	-0.13 	15.83 	2.55 	0.46
