#   indx         mu         mg         mr         mi         mz          Mr
#
    4852 1.944566e+01 1.803813e+01 1.733711e+01 1.688634e+01 1.650956e+01 -2.010625e+01
    4853 1.986356e+01 1.830808e+01 1.728161e+01 1.678584e+01 1.650887e+01 -2.015161e+01
    5062 1.822730e+01 1.647622e+01 1.553863e+01 1.512030e+01 1.489297e+01 -2.218832e+01
    5067 1.921423e+01 1.776266e+01 1.697002e+01 1.653456e+01 1.617382e+01 -2.076888e+01
    5070 1.877270e+01 1.746107e+01 1.657017e+01 1.621482e+01 1.585386e+01 -2.108717e+01
    5105 1.839309e+01 1.734709e+01 1.679877e+01 1.645691e+01 1.619775e+01 -2.071750e+01
    5110 1.902323e+01 1.801900e+01 1.741291e+01 1.703342e+01 1.681828e+01 -2.027518e+01
    5138 1.960096e+01 1.779239e+01 1.678705e+01 1.640241e+01 1.601107e+01 -2.081596e+01
    5144 1.848856e+01 1.726096e+01 1.654856e+01 1.617573e+01 1.589458e+01 -2.105542e+01
    5153 1.941071e+01 1.783283e+01 1.698182e+01 1.662277e+01 1.628986e+01 -2.062595e+01
    5226 1.888723e+01 1.781842e+01 1.746155e+01 1.720806e+01 1.729031e+01 -2.022739e+01
    5259 1.929798e+01 1.813304e+01 1.752449e+01 1.719429e+01 1.697830e+01 -1.984332e+01
    5307 1.881317e+01 1.718901e+01 1.644027e+01 1.612403e+01 1.577866e+01 -2.124119e+01
    5325 1.980592e+01 1.775509e+01 1.683075e+01 1.642579e+01 1.604692e+01 -2.084539e+01
    5326 1.959844e+01 1.776823e+01 1.685763e+01 1.647976e+01 1.612475e+01 -2.082266e+01
    5327 1.999043e+01 1.846914e+01 1.755676e+01 1.717239e+01 1.681792e+01 -2.013393e+01
    5330 1.911589e+01 1.788226e+01 1.735425e+01 1.706924e+01 1.680596e+01 -2.032460e+01
    5333 1.909368e+01 1.741732e+01 1.649127e+01 1.609851e+01 1.581879e+01 -2.115654e+01
    5341 1.913503e+01 1.748869e+01 1.658299e+01 1.623934e+01 1.594612e+01 -2.117323e+01
    5343 1.835293e+01 1.697846e+01 1.635071e+01 1.592639e+01 1.564141e+01 -2.140434e+01
    5347 1.815289e+01 1.729663e+01 1.699850e+01 1.674685e+01 1.666069e+01 -2.064700e+01
    5368 1.821466e+01 1.697880e+01 1.644274e+01 1.609463e+01 1.596065e+01 -2.125592e+01
    5383 1.872060e+01 1.709888e+01 1.656184e+01 1.618054e+01 1.595282e+01 -2.092614e+01
    5442 1.800904e+01 1.668589e+01 1.600040e+01 1.563057e+01 1.536160e+01 -2.142901e+01
    5454 1.873161e+01 1.767644e+01 1.712481e+01 1.687455e+01 1.680421e+01 -2.044740e+01
    5461 1.835712e+01 1.730280e+01 1.687052e+01 1.659371e+01 1.645850e+01 -2.071387e+01
